category,signal_id,pending_id,symbol,side,strategy,score,outcome,r_multiple,status,close_reason,image_path
pending_invalidated,,XANUSDT-LONG-1773928500000,XANUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/XANUSDT_LONG_legacy_5m_retest_pending_1773928500000.png
pending_invalidated,,COSUSDT-LONG-1773932400000,COSUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,stale_breakout runup 7.35%,/root/binance_bot_signals/review_snapshots/20260319/COSUSDT_LONG_legacy_5m_retest_pending_1773932400000.png
pending_invalidated,,UAIUSDT-LONG-1773936600000,UAIUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/UAIUSDT_LONG_legacy_5m_retest_pending_1773936600000.png
pending_invalidated,,TAOUSDT-LONG-1773942600000,TAOUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/TAOUSDT_LONG_legacy_5m_retest_pending_1773942600000.png
pending_invalidated,,BTRUSDT-LONG-1773946500000,BTRUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/BTRUSDT_LONG_legacy_5m_retest_pending_1773946500000.png
pending_invalidated,,ENJUSDT-LONG-1773951000000,ENJUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/ENJUSDT_LONG_legacy_5m_retest_pending_1773951000000.png
pending_invalidated,,PIPPINUSDT-LONG-1773972000000,PIPPINUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/PIPPINUSDT_LONG_legacy_5m_retest_pending_1773972000000.png
pending_invalidated,,KATUSDT-LONG-1773972000000,KATUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/KATUSDT_LONG_legacy_5m_retest_pending_1773972000000.png
pending_invalidated,,SIRENUSDT-LONG-1773973500000,SIRENUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/SIRENUSDT_LONG_legacy_5m_retest_pending_1773973500000.png
pending_invalidated,,ARCUSDT-LONG-1773975300000,ARCUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/ARCUSDT_LONG_legacy_5m_retest_pending_1773975300000.png
pending_invalidated,,EDGEUSDT-LONG-1773977400000,EDGEUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,stale_breakout runup 3.96%,/root/binance_bot_signals/review_snapshots/20260320/EDGEUSDT_LONG_legacy_5m_retest_pending_1773977400000.png
pending_invalidated,,COSUSDT-LONG-1773984300000,COSUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,review_snapshots/20260320/COSUSDT_LONG_long_breakout_retest_pending_1773984300000.png
pending_invalidated,,BANUSDT-LONG-1773916500000,BANUSDT,LONG,legacy_5m_retest,97.00402138286555,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/BANUSDT_LONG_legacy_5m_retest_pending_1773916500000.png
pending_invalidated,,LYNUSDT-LONG-1773919200000,LYNUSDT,LONG,legacy_5m_retest,96.86920250560041,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/LYNUSDT_LONG_legacy_5m_retest_pending_1773919200000.png
pending_invalidated,,LYNUSDT-LONG-1773936000000,LYNUSDT,LONG,legacy_5m_retest,95.16079272956352,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/LYNUSDT_LONG_legacy_5m_retest_pending_1773936000000.png
pending_invalidated,,LYNUSDT-LONG-1773974700000,LYNUSDT,LONG,legacy_5m_retest,95.11095687667984,,,INVALIDATED,acceptance_floor_lost 0.136530<0.139533,/root/binance_bot_signals/review_snapshots/20260320/LYNUSDT_LONG_legacy_5m_retest_pending_1773974700000.png
pending_invalidated,,LYNUSDT-LONG-1773935400000,LYNUSDT,LONG,legacy_5m_retest,95.05537085790812,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/LYNUSDT_LONG_legacy_5m_retest_pending_1773935400000.png
pending_invalidated,,COSUSDT-LONG-1773926100000,COSUSDT,LONG,legacy_5m_retest,94.64649918266576,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/COSUSDT_LONG_legacy_5m_retest_pending_1773926100000.png
pending_invalidated,,BANUSDT-LONG-1773939600000,BANUSDT,LONG,legacy_5m_retest,94.06088163756381,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/BANUSDT_LONG_legacy_5m_retest_pending_1773939600000.png
pending_invalidated,,SAHARAUSDT-LONG-1773937200000,SAHARAUSDT,LONG,legacy_5m_retest,93.76311992714378,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/SAHARAUSDT_LONG_legacy_5m_retest_pending_1773937200000.png
pending_invalidated,,BANUSDT-LONG-1773942900000,BANUSDT,LONG,legacy_5m_retest,92.69823467666033,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/BANUSDT_LONG_legacy_5m_retest_pending_1773942900000.png
pending_invalidated,,AIAUSDT-LONG-1773972300000,AIAUSDT,LONG,legacy_5m_retest,91.59340025807079,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/AIAUSDT_LONG_legacy_5m_retest_pending_1773972300000.png
pending_invalidated,,BANUSDT-LONG-1773947700000,BANUSDT,LONG,legacy_5m_retest,90.41669283085564,,,INVALIDATED,acceptance_floor_lost 0.061830<0.062765,/root/binance_bot_signals/review_snapshots/20260319/BANUSDT_LONG_legacy_5m_retest_pending_1773947700000.png
pending_invalidated,,ARIAUSDT-LONG-1773986100000,ARIAUSDT,LONG,long_breakout_retest,90.07318872054779,,,INVALIDATED,acceptance_floor_lost 0.194620<0.195764,review_snapshots/20260320/ARIAUSDT_LONG_long_breakout_retest_pending_1773986100000.png
pending_invalidated,,XANUSDT-LONG-1773943500000,XANUSDT,LONG,legacy_5m_retest,90.07052873539044,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/XANUSDT_LONG_legacy_5m_retest_pending_1773943500000.png
pending_invalidated,,ENJUSDT-LONG-1773936900000,ENJUSDT,LONG,legacy_5m_retest,85.59939235491933,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/ENJUSDT_LONG_legacy_5m_retest_pending_1773936900000.png
pending_invalidated,,ENJUSDT-LONG-1773936600000,ENJUSDT,LONG,legacy_5m_retest,83.3808153497956,,,INVALIDATED,acceptance_floor_lost 0.024230<0.024527,/root/binance_bot_signals/review_snapshots/20260319/ENJUSDT_LONG_legacy_5m_retest_pending_1773936600000.png
pending_invalidated,,LYNUSDT-LONG-1773975600000,LYNUSDT,LONG,legacy_5m_retest,81.51974428112244,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/LYNUSDT_LONG_legacy_5m_retest_pending_1773975600000.png
pending_invalidated,,DEGOUSDT-LONG-1773947700000,DEGOUSDT,LONG,legacy_5m_retest,80.99197211136166,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/DEGOUSDT_LONG_legacy_5m_retest_pending_1773947700000.png
pending_invalidated,,LYNUSDT-LONG-1773968400000,LYNUSDT,LONG,legacy_5m_retest,80.95425987080768,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/LYNUSDT_LONG_legacy_5m_retest_pending_1773968400000.png
pending_invalidated,,BTRUSDT-LONG-1773951300000,BTRUSDT,LONG,legacy_5m_retest,80.46744967240193,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/BTRUSDT_LONG_legacy_5m_retest_pending_1773951300000.png
pending_invalidated,,LYNUSDT-LONG-1773977700000,LYNUSDT,LONG,legacy_5m_retest,78.09797046161121,,,INVALIDATED,retest invalidated,review_snapshots/20260320/LYNUSDT_LONG_legacy_5m_retest_pending_1773977700000.png
pending_invalidated,,ENJUSDT-LONG-1773981900000,ENJUSDT,LONG,long_breakout_retest,77.57279485213922,,,INVALIDATED,retest invalidated,review_snapshots/20260320/ENJUSDT_LONG_long_breakout_retest_pending_1773981900000.png
pending_invalidated,,BANUSDT-LONG-1773945000000,BANUSDT,LONG,legacy_5m_retest,77.0754016885513,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/BANUSDT_LONG_legacy_5m_retest_pending_1773945000000.png
pending_invalidated,,BANUSDT-LONG-1773948000000,BANUSDT,LONG,legacy_5m_retest,76.76832477667351,,,INVALIDATED,acceptance_floor_lost 0.062340<0.063055,/root/binance_bot_signals/review_snapshots/20260319/BANUSDT_LONG_legacy_5m_retest_pending_1773948000000.png
pending_invalidated,,CFGUSDT-LONG-1773914700000,CFGUSDT,LONG,legacy_5m_retest,76.17395987667445,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/CFGUSDT_LONG_legacy_5m_retest_pending_1773914700000.png
pending_invalidated,,BANUSDT-LONG-1773975000000,BANUSDT,LONG,legacy_5m_retest,73.21198362860922,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/BANUSDT_LONG_legacy_5m_retest_pending_1773975000000.png
pending_invalidated,,SIGNUSDT-SHORT-EXH-1773964800000,SIGNUSDT,SHORT,short_exhaustion_retest,62.843843843843814,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/SIGNUSDT_SHORT_short_exhaustion_retest_pending_1773964800000.png
pending_invalidated,,HYPEUSDT-SHORT-EXH-1773924300000,HYPEUSDT,SHORT,short_exhaustion_retest,61.55536431440042,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/HYPEUSDT_SHORT_short_exhaustion_retest_pending_1773924300000.png
pending_invalidated,,LTCUSDT-SHORT-EXH-1773959400000,LTCUSDT,SHORT,short_exhaustion_retest,60.912395856898556,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/LTCUSDT_SHORT_short_exhaustion_retest_pending_1773959400000.png
pending_invalidated,,ZECUSDT-SHORT-EXH-1773972900000,ZECUSDT,SHORT,short_exhaustion_retest,60.03144654088055,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/ZECUSDT_SHORT_short_exhaustion_retest_pending_1773972900000.png
pending_invalidated,,PIPPINUSDT-SHORT-EXH-1773924300000,PIPPINUSDT,SHORT,short_exhaustion_retest,58.06578461881293,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/PIPPINUSDT_SHORT_short_exhaustion_retest_pending_1773924300000.png
pending_invalidated,,PIPPINUSDT-SHORT-EXH-1773928800000,PIPPINUSDT,SHORT,short_exhaustion_retest,58.01904127555426,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/PIPPINUSDT_SHORT_short_exhaustion_retest_pending_1773928800000.png
pending_invalidated,,RIVERUSDT-SHORT-EXH-1773930600000,RIVERUSDT,SHORT,short_exhaustion_retest,57.83985123203229,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/RIVERUSDT_SHORT_short_exhaustion_retest_pending_1773930600000.png
pending_invalidated,,PIPPINUSDT-SHORT-EXH-1773938700000,PIPPINUSDT,SHORT,short_exhaustion_retest,57.21532464800086,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/PIPPINUSDT_SHORT_short_exhaustion_retest_pending_1773938700000.png
pending_invalidated,,APTUSDT-SHORT-EXH-1773925200000,APTUSDT,SHORT,short_exhaustion_retest,56.31499730033791,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/APTUSDT_SHORT_short_exhaustion_retest_pending_1773925200000.png
pending_invalidated,,ADAUSDT-SHORT-EXH-1773939600000,ADAUSDT,SHORT,short_exhaustion_retest,54.99109827962944,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/ADAUSDT_SHORT_short_exhaustion_retest_pending_1773939600000.png
pending_invalidated,,ANKRUSDT-SHORT-EXH-1773964800000,ANKRUSDT,SHORT,short_exhaustion_retest,53.81481481481481,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/ANKRUSDT_SHORT_short_exhaustion_retest_pending_1773964800000.png
pending_invalidated,,ROBOUSDT-SHORT-EXH-1773939600000,ROBOUSDT,SHORT,short_exhaustion_retest,52.91096538853313,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/ROBOUSDT_SHORT_short_exhaustion_retest_pending_1773939600000.png
pending_invalidated,,ANKRUSDT-SHORT-EXH-1773924300000,ANKRUSDT,SHORT,short_exhaustion_retest,51.744449231434075,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/ANKRUSDT_SHORT_short_exhaustion_retest_pending_1773924300000.png
pending_invalidated,,PIPPINUSDT-SHORT-EXH-1773985500000,PIPPINUSDT,SHORT,short_exhaustion_retest,51.427427375538905,,,INVALIDATED,retest invalidated,review_snapshots/20260320/PIPPINUSDT_SHORT_short_exhaustion_retest_pending_1773985500000.png
pending_invalidated,,ZROUSDT-SHORT-EXH-1773967500000,ZROUSDT,SHORT,short_exhaustion_retest,51.421543757878936,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260320/ZROUSDT_SHORT_short_exhaustion_retest_pending_1773967500000.png
pending_invalidated,,AVAXUSDT-SHORT-EXH-1773959400000,AVAXUSDT,SHORT,short_exhaustion_retest,51.40251572327031,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/AVAXUSDT_SHORT_short_exhaustion_retest_pending_1773959400000.png
pending_invalidated,,DEGOUSDT-SHORT-EXH-1773978300000,DEGOUSDT,SHORT,short_exhaustion_retest,50.78142076502732,,,INVALIDATED,retest invalidated,review_snapshots/20260320/DEGOUSDT_SHORT_short_exhaustion_retest_pending_1773978300000.png
pending_invalidated,,BEATUSDT-SHORT-EXH-1773911700000,BEATUSDT,SHORT,short_exhaustion_retest,50.58623465081104,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/BEATUSDT_SHORT_short_exhaustion_retest_pending_1773911700000.png
pending_invalidated,,RIVERUSDT-SHORT-EXH-1773938700000,RIVERUSDT,SHORT,short_exhaustion_retest,49.36381597288584,,,INVALIDATED,retest invalidated,/root/binance_bot_signals/review_snapshots/20260319/RIVERUSDT_SHORT_short_exhaustion_retest_pending_1773938700000.png
pending_expired,,PIPPINUSDT-LONG-1773914400000,PIPPINUSDT,LONG,legacy_5m_retest,100.0,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/PIPPINUSDT_LONG_legacy_5m_retest_pending_1773914400000.png
pending_expired,,VVVUSDT-LONG-1773947100000,VVVUSDT,LONG,legacy_5m_retest,100.0,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/VVVUSDT_LONG_legacy_5m_retest_pending_1773947100000.png
pending_expired,,BEATUSDT-LONG-1773953100000,BEATUSDT,LONG,legacy_5m_retest,100.0,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/BEATUSDT_LONG_legacy_5m_retest_pending_1773953100000.png
pending_expired,,TAOUSDT-LONG-1773953700000,TAOUSDT,LONG,legacy_5m_retest,100.0,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/TAOUSDT_LONG_legacy_5m_retest_pending_1773953700000.png
pending_expired,,FARTCOINUSDT-LONG-1773954600000,FARTCOINUSDT,LONG,legacy_5m_retest,100.0,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/FARTCOINUSDT_LONG_legacy_5m_retest_pending_1773954600000.png
pending_expired,,AINUSDT-LONG-1773964800000,AINUSDT,LONG,legacy_5m_retest,100.0,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260320/AINUSDT_LONG_legacy_5m_retest_pending_1773964800000.png
pending_expired,,CFGUSDT-LONG-1773965400000,CFGUSDT,LONG,legacy_5m_retest,100.0,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260320/CFGUSDT_LONG_legacy_5m_retest_pending_1773965400000.png
pending_expired,,EDGEUSDT-LONG-1773968100000,EDGEUSDT,LONG,legacy_5m_retest,100.0,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260320/EDGEUSDT_LONG_legacy_5m_retest_pending_1773968100000.png
pending_expired,,AIAUSDT-LONG-1773968400000,AIAUSDT,LONG,legacy_5m_retest,100.0,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260320/AIAUSDT_LONG_legacy_5m_retest_pending_1773968400000.png
pending_expired,,BANUSDT-LONG-1773972600000,BANUSDT,LONG,legacy_5m_retest,100.0,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260320/BANUSDT_LONG_legacy_5m_retest_pending_1773972600000.png
pending_expired,,FETUSDT-LONG-1773982800000,FETUSDT,LONG,long_breakout_retest,100.0,,,EXPIRED_WAIT,retest wait expired,review_snapshots/20260320/FETUSDT_LONG_long_breakout_retest_pending_1773982800000.png
pending_expired,,ZROUSDT-SHORT-EXH-1773924300000,ZROUSDT,SHORT,short_exhaustion_retest,64.88337684943434,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/ZROUSDT_SHORT_short_exhaustion_retest_pending_1773924300000.png
pending_expired,,PAXGUSDT-SHORT-EXH-1773921600000,PAXGUSDT,SHORT,short_exhaustion_retest,64.07513330101789,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/PAXGUSDT_SHORT_short_exhaustion_retest_pending_1773921600000.png
pending_expired,,ROBOUSDT-SHORT-EXH-1773924300000,ROBOUSDT,SHORT,short_exhaustion_retest,63.651162790697704,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/ROBOUSDT_SHORT_short_exhaustion_retest_pending_1773924300000.png
pending_expired,,ZECUSDT-SHORT-EXH-1773924300000,ZECUSDT,SHORT,short_exhaustion_retest,62.38396624472571,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/ZECUSDT_SHORT_short_exhaustion_retest_pending_1773924300000.png
pending_expired,,PUMPUSDT-SHORT-EXH-1773922500000,PUMPUSDT,SHORT,short_exhaustion_retest,58.23499936244383,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/PUMPUSDT_SHORT_short_exhaustion_retest_pending_1773922500000.png
pending_expired,,AINUSDT-SHORT-EXH-1773931500000,AINUSDT,SHORT,short_exhaustion_retest,55.34310601463359,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/AINUSDT_SHORT_short_exhaustion_retest_pending_1773931500000.png
pending_expired,,APTUSDT-SHORT-EXH-1773928800000,APTUSDT,SHORT,short_exhaustion_retest,53.98723734054046,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/APTUSDT_SHORT_short_exhaustion_retest_pending_1773928800000.png
pending_expired,,ASTERUSDT-SHORT-EXH-1773922500000,ASTERUSDT,SHORT,short_exhaustion_retest,52.809523809523846,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/ASTERUSDT_SHORT_short_exhaustion_retest_pending_1773922500000.png
pending_expired,,AXSUSDT-SHORT-EXH-1773921600000,AXSUSDT,SHORT,short_exhaustion_retest,52.80952380952381,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/AXSUSDT_SHORT_short_exhaustion_retest_pending_1773921600000.png
pending_expired,,DEGOUSDT-SHORT-EXH-1773983700000,DEGOUSDT,SHORT,short_exhaustion_retest,52.72463768115942,,,EXPIRED_WAIT,retest wait expired,review_snapshots/20260320/DEGOUSDT_SHORT_short_exhaustion_retest_pending_1773983700000.png
pending_expired,,PENGUUSDT-SHORT-EXH-1773922500000,PENGUUSDT,SHORT,short_exhaustion_retest,52.42222222222222,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/PENGUUSDT_SHORT_short_exhaustion_retest_pending_1773922500000.png
pending_expired,,XRPUSDT-SHORT-EXH-1773922500000,XRPUSDT,SHORT,short_exhaustion_retest,52.079365079365076,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/XRPUSDT_SHORT_short_exhaustion_retest_pending_1773922500000.png
pending_expired,,RENDERUSDT-SHORT-EXH-1773924300000,RENDERUSDT,SHORT,short_exhaustion_retest,48.59771817126381,,,EXPIRED_WAIT,retest wait expired,/root/binance_bot_signals/review_snapshots/20260319/RENDERUSDT_SHORT_short_exhaustion_retest_pending_1773924300000.png
